,Susceptible,Infected,Recovered,Dead
296,90576.533423601,7562.849866024503,1616.7086390960558,243.90807127832784
297,23601.002325208694,53738.46406262794,19218.570262985737,3441.9633491775467
298,17699.265144399673,50624.02458850927,25052.769524785697,6623.940742305287
299,16835.43526182377,49370.465119430344,25311.48791962597,8482.611699120078
300,14942.967830807289,49883.20850832037,25427.318311668158,9746.505349204162
301,13129.063942857732,50554.75254920972,25634.9917552609,10681.191752671646
302,11654.517033375276,51094.95349374042,25847.542464252012,11402.987008632268
303,10474.866724832284,51513.869194813735,26034.19489899169,11977.069181362054
304,90323.66567117274,7756.35571715044,1639.0179339721187,280.96067770462383
305,23298.820714099238,53710.40602650649,19091.120539885284,3899.6527195093395
306,17497.376491342467,50332.30562061327,24714.56467757382,7455.7532104705515
307,16636.6820384427,48935.511248571886,24901.818453010423,9525.98825997496
308,14773.343367927126,49330.79466604119,24965.471231929725,10930.390734101802
309,12984.82537540314,49916.53231167326,25131.330557177625,11967.311755745726
310,11528.305822752542,50393.44018576418,25311.030031964587,12767.223959518973
311,10361.949310946273,50763.41022657456,25471.664246960216,13402.976215518964
312,90065.34855433332,7953.745804791178,1661.2818048836898,319.62383599186677
313,22999.476945036167,53677.13896995661,18960.157869847983,4363.226215159131
314,17295.572642369145,50039.325338170514,24376.95314105892,8288.148878401384
315,16438.223796695678,48501.4260543591,24494.91614969181,10565.43399925356
316,14603.834087747615,48781.38991349656,24508.17414711674,12106.601851639249
317,12840.632662928623,49283.02862593968,24633.681348660964,13242.657362470658
318,11402.152793774174,49698.02015324389,24781.697770875988,14118.12928210583
319,10249.109406457996,50020.20182455004,24917.26013875913,14813.428630232469
320,93012.13550925397,5596.118392985433,1368.5992011462722,23.14689661436314
321,26445.13156288093,52514.570296379614,20647.08153609246,393.21660464711084
322,19318.399531512146,50534.34983345902,29342.39756883877,804.8530661899016
323,19105.980465851382,49580.421952108874,30268.523092365234,1045.074489674558
324,17223.93038830886,50796.42257843535,30770.295701350817,1209.3513319047663
325,15166.033393364236,52167.315142716405,31334.295345813713,1332.3561181053976
326,13445.068707204831,53264.9896897074,31861.553295693102,1428.388307394607
327,12067.795038157985,54114.00180027045,32312.824527836827,1505.3786337346617
328,92804.97818343547,5755.8053871152415,1391.7188168443245,47.497612604752064
329,26097.550976502593,52547.92917024123,20561.35909561432,793.1607576420889
330,19113.326890716024,50282.548467243214,28992.733271580964,1611.3913704597473
331,18889.8511049394,49192.83498471319,29829.925856710906,2087.3880536364095
332,17036.312284036616,50284.782998489325,30266.725524391146,2412.17919308288
333,15008.073959296531,51560.62443395047,30776.318334743126,2654.983272010022
334,13308.253644342027,52587.771584726135,31259.621001161104,2844.3537697708484
335,11945.982146696595,53382.33702397249,31675.608395515657,2996.0724338152772
336,92592.73260661981,5919.227183604824,1414.946461242101,73.09374853314105
337,25753.92097604007,52575.13611336342,20471.168112632873,1199.7747979633768
338,18908.2384010522,50029.18714742617,28643.04270380366,2419.5317477179087
