,P11,P13,P21,P23,M1,M2
313,0.7000000000000001,0.03,0.1,0.1,98790.73873485898,24.63184205152165
314,0.71,0.03,0.1,0.1,98807.82277036758,23.91367927164885
315,0.72,0.03,0.1,0.1,98824.42872620278,23.22721620005214
316,0.73,0.03,0.1,0.1,98840.57223046862,22.57456846554684
317,0.74,0.03,0.1,0.1,98856.28238376969,21.944414783734523
318,0.75,0.03,0.1,0.1,98871.57086696527,21.340832335523324
319,0.76,0.03,0.1,0.1,98886.45110437484,20.765511861640277
320,0.77,0.03,0.1,0.1,98900.94723291088,20.209414681483295
321,0.78,0.03,0.1,0.1,98915.06950217989,19.675786846380205
322,0.79,0.03,0.1,0.1,98928.82938165647,19.166106295330444
323,0.8,0.03,0.1,0.1,98942.24736804713,18.672803102907842
324,0.0,0.04,0.1,0.1,3336.7276361524887,72759.19570287861
325,0.01,0.04,0.1,0.1,3807.0610797208074,72352.32310101243
326,0.02,0.04,0.1,0.1,4431.479670400077,71812.24698094073
327,0.03,0.04,0.1,0.1,5300.621355804032,71060.63349131781
328,0.04,0.04,0.1,0.1,6592.869288190188,69943.44273999089
329,0.05,0.04,0.1,0.1,8715.30240502325,68109.32845777464
330,0.06,0.04,0.1,0.1,12833.473254147551,64553.590656990644
331,0.07,0.04,0.1,0.1,23975.05008297835,54955.42148256292
332,0.08,0.04,0.1,0.1,,
333,0.09,0.04,0.1,0.1,79824.82955042232,8220.520548317068
334,0.1,0.04,0.1,0.1,84908.4721515852,4643.149624371813
335,0.11,0.04,0.1,0.1,87478.58168120071,3096.938059621237
336,0.12,0.04,0.1,0.1,89116.85049438215,2252.6730867059405
337,0.13,0.04,0.1,0.1,90291.4087234654,1729.1155448046563
338,0.14,0.04,0.1,0.1,91193.56112325146,1377.1329701861255
339,0.15,0.04,0.1,0.1,91917.71064874508,1127.029078391956
340,0.16,0.04,0.1,0.1,92517.15362235121,941.7752094925306
341,0.17,0.04,0.1,0.1,93024.47897927449,800.2189377855475
342,0.18,0.04,0.1,0.1,93461.35781731321,689.1805188930612
343,0.19,0.04,0.1,0.1,93842.5094913852,600.3873264227951
344,0.2,0.04,0.1,0.1,94178.71061471994,528.1430021697165
345,0.21,0.04,0.1,0.1,94478.04286739585,468.4341286370626
346,0.22,0.04,0.1,0.1,94746.48954854716,418.5522452646725
347,0.23,0.04,0.1,0.1,94988.96102668496,376.3147989358547
348,0.24,0.04,0.1,0.1,95209.11987431713,340.2933614956579
349,0.25,0.04,0.1,0.1,95410.09265298457,309.26103859026506
350,0.26,0.04,0.1,0.1,95594.32688044176,282.36357794913215
351,0.27,0.04,0.1,0.1,95763.8982256095,258.89137447512644
352,0.28,0.04,0.1,0.1,95920.59528248188,238.23556288472483
353,0.29,0.04,0.1,0.1,96065.8259264765,219.99455239757407
