,percentage_extremists,uncertainty_moderate,uncertainty_extremists,relative_difference_positive_negative_extrimists,intensity_interaction,embedding
274,0.3,0.6000000000000001,0.1,0.5,0.3,10.900388850616345
275,0.3,0.4,0.1,0.4,0.1,0.34917076723458895
276,0.3,0.2,0.05,0.0,0.2,0.18737441802646923
277,0.25,0.8,0.05,0.1,0.3,43.62140257837307
278,0.3,0.6000000000000001,0.05,0.4,0.5,12.420306426181526
279,0.15,1.6,0.2,0.5,0.4,11.449859802470499
280,0.15,1.8,0.2,0.2,0.3,40.24715070634689
281,0.25,1.4,0.15,0.1,0.2,37.41382574318024
282,0.2,0.2,0.15,0.5,0.2,0.11978448716186581
283,0.2,1.4,0.1,0.4,0.1,7.596353353979833
284,0.05,0.8,0.15,0.4,0.1,56.6044514985226
285,0.15,0.8,0.1,0.2,0.3,22.928887672193905
286,0.25,1.8,0.1,0.1,0.3,21.862631765681385
287,0.025,1.4,0.1,0.1,0.5,17411.484149950214
288,0.05,1.4,0.2,0.0,0.2,493.1315052376009
289,0.025,0.6000000000000001,0.1,0.1,0.3,0.5669425509002058
290,0.2,1.8,0.1,0.2,0.1,9.095173262649316
291,0.05,1.0,0.2,0.3,0.1,51.659792574504856
292,0.05,0.8,0.1,0.4,0.5,426.8988407054448
293,0.025,1.6,0.05,0.2,0.3,85.53993740033842
294,0.15,1.4,0.15,0.3,0.4,20.15236042207594
295,0.3,0.6000000000000001,0.15,0.4,0.1,12.01890837418494
296,0.15,1.2,0.2,0.3,0.2,38.09449898459978
297,0.3,0.2,0.05,0.4,0.5,0.11968926175056777
298,0.05,0.2,0.05,0.3,0.5,0.12490278790110122
299,0.3,0.4,0.05,0.3,0.2,0.6268264619724241
300,0.1,0.8,0.05,0.1,0.4,2026.5720629577138
301,0.2,0.8,0.2,0.2,0.1,51.82731501208329
302,0.05,1.4,0.15,0.0,0.2,19.011171760081137
303,0.15,1.8,0.2,0.1,0.3,61.6655597799728
304,0.25,1.6,0.15,0.0,0.4,94.51680265675276
305,0.025,0.6000000000000001,0.15,0.0,0.1,0.6583997198343711
306,0.3,2.0,0.2,0.2,0.3,19.106635578486113
307,0.1,0.4,0.2,0.1,0.5,0.26068755841101127
308,0.25,1.8,0.1,0.0,0.2,35.595777561704644
309,0.3,0.4,0.05,0.3,0.3,0.6163278058531578
310,0.05,0.4,0.15,0.5,0.4,0.3171559892054866
311,0.025,1.4,0.15,0.5,0.4,55.66615948232814
312,0.2,0.2,0.15,0.2,0.4,0.13233281336356706
313,0.2,0.8,0.2,0.3,0.2,28.12808857942893
314,0.025,1.6,0.15,0.5,0.2,255.4361482366065
315,0.1,1.2,0.1,0.0,0.1,154.7676097256084
316,0.25,0.8,0.05,0.2,0.1,109.69500474125032
317,0.05,0.4,0.1,0.5,0.5,0.5438628847905389
318,0.25,0.2,0.05,0.0,0.2,0.13926684638046063
319,0.15,1.2,0.2,0.1,0.1,55.55778734868919
320,0.025,0.2,0.1,0.2,0.2,0.13681873784581133
321,0.25,2.0,0.05,0.3,0.5,9.422958050725205
322,0.05,0.8,0.15,0.2,0.1,165.98781415239316
323,0.05,0.6000000000000001,0.15,0.0,0.4,0.5156105904260495
324,0.15,1.6,0.1,0.2,0.4,265.10996985302995
325,0.25,1.2,0.1,0.4,0.4,11.583626634427238
326,0.2,1.8,0.05,0.2,0.2,14.921057926963998
327,0.3,0.2,0.2,0.5,0.2,0.11949721804724003
328,0.3,1.6,0.1,0.5,0.4,7.058625857928772
329,0.025,0.8,0.05,0.4,0.1,106.65363173998789
330,0.2,2.0,0.15,0.3,0.4,8.966892025228885
331,0.2,2.0,0.15,0.1,0.4,27.061356152111337
332,0.05,1.2,0.1,0.1,0.5,415.27901602244873
333,0.1,0.4,0.2,0.5,0.1,0.2783272838390817
334,0.15,1.6,0.15,0.0,0.1,100.61555004413175
335,0.025,1.0,0.1,0.0,0.4,78.61645982479205
336,0.3,1.6,0.1,0.2,0.3,130.34874369715666
337,0.3,1.8,0.15,0.0,0.3,41.80451723093597
338,0.15,1.0,0.1,0.3,0.1,29.235584894154535
339,0.15,1.4,0.2,0.3,0.3,17.73173277438593
340,0.025,0.2,0.15,0.3,0.1,0.1242344440959379
341,0.25,0.6000000000000001,0.1,0.1,0.4,197.38228658889747
342,0.15,2.0,0.2,0.4,0.1,13.628626845055466
343,0.05,2.0,0.1,0.0,0.1,62.080918654432985
344,0.05,1.6,0.05,0.1,0.5,189.17419246952207
345,0.2,1.2,0.2,0.3,0.3,16.76258112366378
346,0.25,1.2,0.2,0.2,0.3,15.936212278808906
347,0.15,1.6,0.05,0.5,0.2,8.206207553195394
348,0.025,1.2,0.05,0.3,0.1,307.5528436494055
349,0.05,1.0,0.05,0.4,0.3,137.98205631572148
350,0.3,2.0,0.1,0.0,0.3,305.8958368788984
351,0.05,0.2,0.1,0.5,0.2,0.12397351149579895
352,0.1,0.6000000000000001,0.15,0.4,0.5,1.020060121721882
353,0.3,1.4,0.15,0.1,0.5,28.19112966013491
354,0.025,1.8,0.05,0.3,0.2,163.38971440470664
355,0.05,1.6,0.05,0.2,0.2,26.620061788167053
356,0.25,0.8,0.2,0.5,0.4,10.816115967446313
357,0.3,1.0,0.1,0.1,0.5,64.55623442259834
358,0.15,1.8,0.1,0.5,0.2,7.857020128954686
359,0.15,0.6000000000000001,0.05,0.3,0.5,2.411598954070844
360,0.15,1.0,0.1,0.2,0.5,55.803525357962705
361,0.1,2.0,0.1,0.0,0.3,362.08342385390733
362,0.3,0.4,0.15,0.2,0.3,0.4621314127467449
363,0.3,1.4,0.1,0.1,0.1,54.19854469505925
364,0.25,0.6000000000000001,0.05,0.5,0.2,12.265116612520478
365,0.05,0.8,0.15,0.3,0.5,71.86937502717417
366,0.25,1.4,0.1,0.3,0.2,12.039175687312834
367,0.25,0.8,0.2,0.1,0.1,588.2776949380686
368,0.1,0.4,0.2,0.2,0.1,0.3352208423025882
369,0.25,0.2,0.15,0.1,0.2,0.1226180924273892
370,0.1,1.6,0.15,0.3,0.4,31.466921734691475
371,0.1,1.8,0.15,0.1,0.1,11.424812362833322
372,0.2,1.0,0.15,0.2,0.5,43.87272563306592
373,0.3,1.6,0.1,0.4,0.1,6.811297866112894
374,0.2,0.4,0.2,0.4,0.5,0.5255888177832811
375,0.25,1.0,0.05,0.0,0.1,127.16521607714047
376,0.3,1.2,0.1,0.3,0.4,13.873322756613337
377,0.025,0.6000000000000001,0.2,0.2,0.2,0.5279470033838011
378,0.025,1.8,0.05,0.0,0.1,30.148839013731145
379,0.1,1.8,0.1,0.5,0.3,9.727013557957125
380,0.3,2.0,0.15,0.4,0.2,5.091709860534153
381,0.3,0.6000000000000001,0.2,0.4,0.5,11.70262058844589
382,0.15,1.6,0.15,0.5,0.4,9.790174319575875
383,0.25,1.2,0.05,0.4,0.3,15.48256236365768
384,0.05,1.6,0.15,0.2,0.4,66.43511804682517
385,0.1,0.6000000000000001,0.1,0.3,0.3,0.6517412448606648
386,0.025,0.8,0.15,0.4,0.3,772.9339547342634
387,0.3,2.0,0.15,0.2,0.2,8.76482501315776
388,0.2,1.8,0.1,0.3,0.4,12.832411600242008
389,0.15,1.6,0.2,0.1,0.2,12.274796103214609
390,0.3,0.2,0.15,0.2,0.1,0.0744977399165998
391,0.15,1.8,0.05,0.5,0.1,9.108358362777809
392,0.15,1.8,0.1,0.0,0.4,25.04265802870904
393,0.1,0.6000000000000001,0.1,0.5,0.1,1.1170068166779445
394,0.15,0.4,0.15,0.4,0.3,0.4841765566469711
395,0.025,0.8,0.2,0.5,0.1,75.88493640753082
396,0.05,0.4,0.05,0.4,0.5,0.3281524040413069
397,0.1,0.4,0.15,0.4,0.5,0.3891093276139779
398,0.2,1.8,0.15,0.0,0.4,100.29389573019617
399,0.1,0.2,0.05,0.4,0.3,0.12974513274577415
400,0.2,0.8,0.2,0.2,0.2,49.982924607689114
401,0.05,1.8,0.1,0.0,0.3,11.166439134345248
402,0.05,1.0,0.05,0.2,0.1,145.06075337206838
403,0.025,2.0,0.15,0.5,0.5,181.09204122595582
404,0.1,0.8,0.05,0.3,0.5,73.2555005898559
405,0.05,0.8,0.05,0.3,0.4,858.9339015966665
406,0.05,1.0,0.1,0.4,0.2,46.158186628964046
407,0.05,1.8,0.1,0.3,0.5,38.617771613743464
408,0.1,1.0,0.2,0.0,0.1,248.41878236036575
409,0.025,1.6,0.2,0.4,0.2,4946.739965808506
410,0.05,0.4,0.15,0.1,0.5,0.6557446944430649
411,0.025,1.6,0.15,0.0,0.2,2614.4065363146515
412,0.2,2.0,0.2,0.1,0.3,374.94299824166535
413,0.3,1.4,0.1,0.3,0.2,8.643528012292705
414,0.15,1.4,0.1,0.0,0.5,210.04415101190824
415,0.05,1.2,0.05,0.4,0.2,45.74241847845506
416,0.3,1.6,0.15,0.5,0.1,6.782928754716054
417,0.25,1.2,0.1,0.0,0.4,17.37016896669067
418,0.1,1.8,0.15,0.3,0.5,25.94321220001916
